planner,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,dataset,output_tag,seed,budget,horizon,gamma,action_library,action_count,exploration,reward_bias,dynamics_bias,uncertainty_pocket,start_label,episode_true_return,episode_max_pocket_score,simulations,tree_nodes,search_concentration,adaptive_search,root_value,episode_model_steps,episode_steps
uct_mcts,-26.19317891452258,-25.928597690603205,-25.928605884053407,8.193450202753638e-06,2.888457258764398e-06,0.3810825856783371,7.049753472616801e-07,1.3314156742485717e-07,1.331393947849619e-07,1.6875251400534714,768.0,,,exploration_sweep,exploration_1.25,3,768,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,47.0,48.0,0.7021276595744681,1.0,-27.73528613780069,,
static_rollout_pool,-23.027482426099183,-23.027482426099183,-23.031580492846203,0.004098066747019402,0.0028988463664981453,0.38273195162217233,0.0005063070510782373,0.0008584199803125329,0.0008554178432706814,1.0294928363290805,756.0,42.0,1.0,exploration_sweep,exploration_2.00,0,768,18,0.98,default9,9,2.0,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-27.229343466425053,-28.737548140192413,-28.737548179618862,3.942644966059561e-08,1.1558782708390774e-08,0.3810808435571034,3.0672051658419843e-09,1.7096392201257124e-09,1.7096392201257124e-09,1.879606303435595,768.0,,,exploration_sweep,exploration_2.00,0,768,18,0.98,default9,9,2.0,1.15,0.22,0.55,base,,,46.0,47.0,0.43478260869565216,1.0,-28.804662130473968,,
static_rollout_pool,-21.80570468647983,-21.80570468647983,-21.98456300950945,0.17885832302961902,0.12165380271863876,0.4493640975345429,0.019002678270618967,0.06976586866132266,0.06886201547863492,0.8359754662200491,756.0,42.0,1.0,exploration_sweep,exploration_2.00,1,768,18,0.98,default9,9,2.0,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-26.81422104738893,-15.048858336352184,-15.478585577930767,0.42972724157858266,0.3202550052274367,0.5510698187675285,0.035681937569495184,0.08963911227184225,0.09783172818156793,0.4049031858048676,768.0,,,exploration_sweep,exploration_2.00,1,768,18,0.98,default9,9,2.0,1.15,0.22,0.55,base,,,46.0,47.0,0.41304347826086957,1.0,-28.62169416876377,,
static_rollout_pool,-25.493039562007993,-25.493039562007993,-25.65360829715111,0.16056873514311576,0.139360263333766,0.461569980536874,0.024859233621044384,0.05472226654296507,0.05009801189289325,1.089228026924188,756.0,42.0,1.0,exploration_sweep,exploration_2.00,2,768,18,0.98,default9,9,2.0,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-26.319391714441217,-24.629432322629256,-25.47461472343053,0.8451824008012743,0.45498767228416304,0.6635448546813205,0.10875372931953615,0.05806655677996004,0.028340456550776865,1.5570946510526427,768.0,,,exploration_sweep,exploration_2.00,2,768,18,0.98,default9,9,2.0,1.15,0.22,0.55,base,,,46.0,47.0,0.391304347826087,1.0,-28.928128078145377,,
static_rollout_pool,-22.28106792462932,-22.28106792462932,-22.281261748823738,0.00019382419441882348,7.129687367903122e-05,0.3811227763888502,1.5028469815316615e-05,1.6473859644031936e-05,1.6472023528847518e-05,1.028526075736858,756.0,42.0,1.0,exploration_sweep,exploration_2.00,3,768,18,0.98,default9,9,2.0,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-27.383439838312395,-27.088041181658213,-27.088041239973908,5.831569538372605e-08,2.0838808342170752e-08,0.3810808492580956,5.487417105037734e-09,8.565666917366824e-09,8.565666716067322e-09,1.6002287467761087,768.0,,,exploration_sweep,exploration_2.00,3,768,18,0.98,default9,9,2.0,1.15,0.22,0.55,base,,,46.0,47.0,0.5869565217391305,1.0,-28.977481138323103,,
static_rollout_pool,-23.027482426099183,-23.027482426099183,-23.031580492846203,0.004098066747019402,0.0028988463664981453,0.38273195162217233,0.0005063070510782373,0.0008584199803125329,0.0008554178432706814,1.0294928363290805,756.0,42.0,1.0,exploration_sweep,exploration_3.00,0,768,18,0.98,default9,9,3.0,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-27.12418788760415,-15.590627682770984,-16.236502622351136,0.6458749395801515,0.46482159190895805,0.6276464749172924,0.05364860969344988,0.13274670735009741,0.14455096172541645,0.4560322422018217,768.0,,,exploration_sweep,exploration_3.00,0,768,18,0.98,default9,9,3.0,1.15,0.22,0.55,base,,,46.0,47.0,0.4782608695652174,1.0,-28.726410308743358,,
static_rollout_pool,-21.80570468647983,-21.80570468647983,-21.98456300950945,0.17885832302961902,0.12165380271863876,0.4493640975345429,0.019002678270618967,0.06976586866132266,0.06886201547863492,0.8359754662200491,756.0,42.0,1.0,exploration_sweep,exploration_3.00,1,768,18,0.98,default9,9,3.0,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-27.190255448384875,-30.935624125751136,-30.935624621877793,4.961266562020228e-07,2.4265648273866845e-07,0.3810809838200053,6.006483248485279e-08,1.3313939741700014e-07,1.331393947849619e-07,1.6875251400534714,768.0,,,exploration_sweep,exploration_3.00,1,768,18,0.98,default9,9,3.0,1.15,0.22,0.55,base,,,46.0,47.0,0.5217391304347826,1.0,-28.559902253637027,,
static_rollout_pool,-25.493039562007993,-25.493039562007993,-25.65360829715111,0.16056873514311576,0.139360263333766,0.461569980536874,0.024859233621044384,0.05472226654296507,0.05009801189289325,1.089228026924188,756.0,42.0,1.0,exploration_sweep,exploration_3.00,2,768,18,0.98,default9,9,3.0,1.15,0.22,0.55,base,,,,,,,,,
